 741          	               27.0019      	               2            	               2048         	               741          	               1            	               256 
Header:       	              iwavelength   	              Frequency     	              NumberOfCycles              	              Record Length 	              PointsPerCycle              	              BWReduction   	              Averages
Time(s)       	              X Field(A/m)  	              Y Field (A/m) 	              Kerr (V)      	              Ref (V)       	              Processed
-0.0271105    	              -19590.81     	               305.3567     	               2.450515E-02               	               5.727657E-04               	               18.13381 
-0.0270605    	              -19327.31     	               305.7892     	               2.453737E-02               	               5.792009E-04               	               18.36166 
-0.0270105    	              -19062.2      	               306.2216     	               2.456782E-02               	               5.792009E-04               	               18.38445 
-0.0269605    	              -18795.57     	               306.2823     	               0.0245952    	               5.792009E-04               	               18.40493 
-0.0269105    	              -18527.31     	               306.7148     	               2.463626E-02               	               5.792009E-04               	               18.43566 
-0.0268605    	              -18257.45     	               306.7754     	               2.466008E-02               	               5.792009E-04               	               18.45348 
-0.0268105    	              -17985.72     	               307.2079     	               2.467567E-02               	               5.792009E-04               	               18.46515 
-0.0267605    	              -17712.05     	               307.6403     	               2.471654E-02               	               5.792009E-04               	               18.49573 
-0.0267105    	              -17436.82     	               308.0728     	               2.474918E-02               	               5.792009E-04               	               18.52016 
-0.0266605    	              -17160.12     	               308.1335     	               2.476454E-02               	               5.792009E-04               	               18.53165 
-0.0266105    	              -16881.88     	               308.5659     	               0.0248       	               5.792009E-04               	               18.55819 
-0.0265605    	              -16602.24     	               308.9984     	               2.483365E-02               	               5.792009E-04               	               18.58337 
-0.0265105    	              -16321.18     	               309.4308     	               2.486934E-02               	               5.792009E-04               	               18.61008 
-0.0264605    	              -16038.66     	               309.8633     	               2.489033E-02               	               5.727657E-04               	               18.41885 
-0.0264105    	              -15754.81     	               309.924      	               2.490948E-02               	               5.792009E-04               	               18.64012 
-0.0263605    	              -15469.65     	               309.9846     	               2.494742E-02               	               5.792009E-04               	               18.66851 
-0.0263105    	              -15183.13     	               309.6736     	               2.495775E-02               	               5.792009E-04               	               18.67624 
-0.0262605    	              -14895.34     	               309.3625     	               0.0249804    	               5.792009E-04               	               18.69318 
-0.0262105    	              -14606.26     	               309.0514     	               0.0250141    	               5.792009E-04               	               18.7184 
-0.0261605    	              -14315.85     	               308.7403     	               2.504081E-02               	               5.792009E-04               	               18.73839 
-0.0261105    	              -14024.23     	               308.4292     	               2.505533E-02               	               5.792009E-04               	               18.74926 
-0.0260605    	              -13731.33     	               308.1182     	               2.507832E-02               	               5.792009E-04               	               18.76646 
-0.0260105    	              -13437.14     	               307.8071     	               2.509946E-02               	               5.792009E-04               	               18.78228 
-0.0259605    	              -13141.86     	               307.496      	               2.512387E-02               	               5.792009E-04               	               18.80055 
-0.0259105    	              -12845.71     	               306.8131     	               2.514898E-02               	               5.792009E-04               	               18.81934 
-0.0258605    	              -12548.56     	               306.5021     	               2.516319E-02               	               5.792009E-04               	               18.82997 
-0.0258105    	              -12250.28     	               306.191      	               2.517809E-02               	               5.792009E-04               	               18.84112 
-0.0257605    	              -11950.8      	               305.8799     	               2.520014E-02               	               5.792009E-04               	               18.85762 
-0.0257105    	              -11650.23     	               305.5688     	               0.0252216    	               5.792009E-04               	               18.87368 
-0.0256605    	              -11348.97     	               305.2578     	               2.524115E-02               	               5.792009E-04               	               18.88831 
-0.0256105    	              -11046.89     	               304.9467     	               2.525106E-02               	               5.792009E-04               	               18.89573 
-0.0255605    	              -10743.81     	               304.6356     	               2.524748E-02               	               5.792009E-04               	               18.89304 
-0.0255105    	              -10439.84     	               304.3245     	               2.526003E-02               	               5.792009E-04               	               18.90244 
-0.0254605    	              -10135.22     	               303.6417     	               2.527712E-02               	               5.792009E-04               	               18.91523 
-0.0254105    	              -9829.831     	               303.3306     	               2.528326E-02               	               5.792009E-04               	               18.91982 
-0.0253605    	              -9523.638     	               302.6477     	               2.530297E-02               	               5.792009E-04               	               18.93457 
-0.0253105    	              -9216.849     	               302.3367     	               2.531944E-02               	               5.792009E-04               	               18.94689 
-0.0252605    	              -8909.419     	               302.0256     	               2.531852E-02               	               5.792009E-04               	               18.94621 
-0.0252105    	              -8601.448     	               301.3427     	               2.531825E-02               	               5.792009E-04               	               18.946 
-0.0251605    	              -8292.838     	               300.6599     	               2.530315E-02               	               5.792009E-04               	               18.93471 
-0.0251105    	              -7983.72      	               299.9771     	               2.530415E-02               	               5.792009E-04               	               18.93546 
-0.0250605    	              -7674.038     	               299.2942     	               2.530708E-02               	               5.792009E-04               	               18.93765 
-0.0250105    	              -7363.783     	               298.6114     	               2.531066E-02               	               5.792009E-04               	               18.94032 
-0.0249605    	              -7053.196     	               297.5568     	               2.529551E-02               	               5.792009E-04               	               18.92899 
-0.0249105    	              -6742.234     	               296.5022     	               2.527326E-02               	               5.792009E-04               	               18.91234 
-0.0248605    	              -6430.897     	               295.4475     	               0.0252658    	               5.792009E-04               	               18.90676 
-0.0248105    	              -6119.263     	               294.3929     	               2.524864E-02               	               5.792009E-04               	               18.89391 
-0.0247605    	              -5807.274     	               293.3383     	               2.522437E-02               	               5.727657E-04               	               18.66604 
-0.0247105    	              -5494.977     	               292.2837     	               2.519426E-02               	               5.792009E-04               	               18.85322 
-0.0246605    	              -5182.414     	               291.2291     	               2.515575E-02               	               5.727657E-04               	               18.61525 
-0.0246105    	              -4869.521     	               290.1745     	               2.510881E-02               	               5.663306E-04               	               18.37177 
-0.0245605    	              -4556.406     	               289.1199     	               2.505088E-02               	               5.663306E-04               	               18.32938 
-0.0245105    	              -4243.27      	               288.0653     	               2.499097E-02               	               5.727657E-04               	               18.49331 
-0.0244605    	              -3929.857     	               287.0107     	               2.490586E-02               	               5.727657E-04               	               18.43034 
-0.0244105    	              -3616.191     	               285.9561     	               2.483168E-02               	               5.663306E-04               	               18.16899 
-0.0243605    	              -3302.371     	               284.9015     	               2.472458E-02               	               5.663306E-04               	               18.09063 
-0.0243105    	              -2988.639     	               283.8469     	               2.460904E-02               	               5.663306E-04               	               18.00609 
